;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;40;85874.0;82836.0;83438.0;85874.0;82836.0;83312.0;90344.0;79556.0;79111.0;79466.0;79890.0;79400.0;80720.0;80935.0;80865.0;80290.0;80342.0;83312.0;80622.0;80068.0;81734.0;79954.0;79254.0;83312.0;84038.0;484.0;413.0;429.0;484.0;413.0;433.0;534.0;397.0;384.0;396.5;422.0;395.5;407.5;408.0;404.0;390.0;399.5;433.0;377.0;394.0;417.0;378.0;383.0;433.0;470.0;0.465;0.482;0.313;0.496;0.34;0.498;0.439;11.114;42.179;11.497;1.727;15.51;12.96;47.89;13.683;2.366;24.905;0.462;0.519;0.529;0.666;0.605;0.996;0.348;3.989
10;50;87460.0;89576.0;85948.0;87460.0;89576.0;87042.0;100160.0;81745.0;81845.0;81788.0;80238.0;81947.0;84123.0;83958.0;84233.0;85870.0;84377.0;87042.0;85814.0;82442.0;83378.0;84140.0;82268.0;87042.0;86008.0;387.0;431.0;365.0;387.0;431.0;383.0;559.0;330.5;331.5;333.0;306.0;339.0;349.5;350.0;355.0;368.0;353.0;383.0;364.0;332.0;339.0;345.0;334.0;383.0;384.0;0.294;0.438;0.338;0.323;0.391;0.323;0.557;12.714;55.207;13.091;1.529;17.62;13.785;61.949;14.065;1.6;20.052;0.324;0.481;0.525;0.513;0.587;0.959;0.355;2.61
2;10;71678.0;71834.0;71454.0;71678.0;71834.0;71630.0;72872.0;70904.0;70951.0;70918.0;70928.0;70986.0;71259.0;71291.0;71139.0;71932.0;71189.0;71630.0;71184.0;71008.0;70992.0;70764.0;70994.0;71630.0;70104.0;1195.0;1189.0;1188.0;1195.0;1189.0;1200.0;1245.0;1194.5;1193.0;1194.0;1179.0;1202.5;1214.5;1215.5;1200.0;1241.0;1208.5;1200.0;1160.0;1157.0;1155.0;1150.0;1161.0;1200.0;1142.0;0.213;0.278;0.199;0.209;0.212;0.279;0.213;25.424;63.836;26.264;7.609;40.906;39.185;67.653;42.218;8.475;53.388;0.265;0.277;0.236;0.221;0.221;0.253;0.199;0.293
2;20;75704.0;75796.0;75424.0;75704.0;75796.0;75436.0;77518.0;74433.0;74367.0;74398.0;74176.0;74400.0;75026.0;74722.0;75191.0;75652.0;74972.0;75436.0;74648.0;74428.0;74492.0;74462.0;74188.0;75436.0;72810.0;670.0;686.0;676.0;670.0;686.0;659.0;733.0;668.0;665.5;666.5;663.0;665.5;687.0;672.0;691.5;702.0;686.0;659.0;646.0;664.0;642.0;649.0;677.0;659.0;629.0;0.216;0.197;0.179;0.216;0.178;0.151;0.208;27.757;79.283;45.577;3.153;36.766;44.44;134.743;37.61;3.446;56.684;0.216;0.275;0.272;0.276;0.324;0.332;0.217;0.495
2;30;80512.0;82326.0;80162.0;80512.0;82326.0;80958.0;84706.0;78299.0;78260.0;78063.0;78568.0;78524.0;79601.0;79808.0;79362.0;79614.0;79193.0;80958.0;78604.0;78080.0;78466.0;77444.0;76706.0;80958.0;77046.0;538.0;572.0;520.0;538.0;572.0;538.0;621.0;499.0;491.5;491.5;510.0;495.5;513.0;518.5;511.5;527.0;508.0;538.0;486.0;489.0;505.0;462.0;459.0;538.0;481.0;0.167;0.247;0.17;0.193;0.241;0.137;0.217;31.595;151.691;32.298;1.069;41.198;48.451;193.302;48.945;1.378;66.405;0.146;0.245;0.23;0.24;0.276;0.37;0.154;0.948
2;40;85756.0;88376.0;85300.0;85756.0;88376.0;85368.0;95054.0;83620.0;83226.0;83130.0;81980.0;83092.0;84378.0;84227.0;84629.0;81334.0;84986.0;85368.0;84700.0;83030.0;82802.0;83988.0;82080.0;85368.0;85312.0;465.0;509.0;455.0;465.0;509.0;436.0;595.0;424.0;422.5;418.5;416.0;421.5;435.0;437.0;437.5;396.0;447.5;436.0;466.0;420.0;418.0;433.0;416.0;436.0;472.0;0.25;0.35;0.162;0.234;0.287;0.184;0.317;35.35;169.317;35.215;0.495;44.618;60.752;184.791;58.897;0.497;79.238;0.247;0.256;0.381;0.363;0.436;0.678;0.241;2.615
2;50;90716.0;92124.0;92946.0;90716.0;92124.0;90368.0;100778.0;87996.0;88495.0;88014.0;86412.0;88375.0;88995.0;89699.0;89462.0;85892.0;89556.0;90368.0;87992.0;89160.0;88840.0;87352.0;86934.0;90368.0;92830.0;411.0;422.0;454.0;411.0;422.0;417.0;533.0;376.0;375.0;372.0;382.0;380.5;383.0;385.5;385.5;366.0;391.0;417.0;372.0;389.0;389.0;375.0;379.0;417.0;433.0;0.227;0.207;0.2;0.241;0.21;0.172;0.294;37.37;131.487;37.843;0.383;46.77;58.432;168.236;58.723;0.24;63.962;0.268;0.238;0.43;0.294;0.422;0.558;0.191;3.23
5;10;71500.0;71000.0;71574.0;71500.0;71000.0;70650.0;72428.0;70527.0;70495.0;70535.0;70640.0;70749.0;71146.0;71012.0;70988.0;71724.0;71046.0;70650.0;71222.0;71388.0;71092.0;70994.0;70492.0;70650.0;69802.0;1188.0;1167.0;1197.0;1188.0;1167.0;1151.0;1232.0;1182.5;1177.5;1181.5;1192.0;1197.0;1210.5;1197.5;1189.5;1256.0;1206.0;1151.0;1146.0;1160.0;1157.0;1155.0;1144.0;1151.0;1135.0;0.269;0.264;0.275;0.297;0.263;0.247;0.259;13.11;19.694;21.335;4.257;16.198;19.515;29.332;22.886;5.732;22.378;0.279;0.287;0.307;0.303;0.309;0.31;0.257;0.355
5;20;74906.0;75622.0;75312.0;74906.0;75622.0;74598.0;77292.0;73322.0;73681.0;73812.0;73444.0;73437.0;74337.0;74247.0;74437.0;74830.0;74505.0;74598.0;74628.0;74300.0;74496.0;73732.0;72848.0;74598.0;72466.0;654.0;680.0;698.0;654.0;680.0;646.0;708.0;651.0;663.0;662.0;664.0;649.5;673.5;665.5;671.0;684.0;675.0;646.0;642.0;651.0;657.0;628.0;617.0;646.0;637.0;0.342;0.366;0.339;0.343;0.364;0.341;0.367;15.087;37.008;15.735;3.177;20.223;19.837;57.384;27.699;4.492;31.027;0.278;0.385;0.339;0.431;0.334;0.432;0.29;0.633
5;30;77770.0;79224.0;79728.0;77770.0;79224.0;78504.0;82346.0;76598.0;76972.0;76267.0;76680.0;76479.0;77519.0;77823.0;77652.0;78090.0;77552.0;78504.0;78484.0;77500.0;78902.0;77764.0;75428.0;78504.0;76316.0;474.0;513.0;518.0;474.0;513.0;481.0;559.0;477.5;486.5;468.0;471.0;477.0;494.5;498.5;494.5;495.0;492.0;481.0;496.0;488.0;524.0;489.0;443.0;481.0;479.0;0.326;0.385;0.335;0.328;0.253;0.33;0.399;17.04;58.076;18.004;2.4;23.624;31.787;94.9;26.475;3.495;34.395;0.312;0.49;0.515;0.493;0.601;0.625;0.325;1.646
5;40;83030.0;84896.0;82918.0;83030.0;84896.0;85252.0;90482.0;80057.0;79398.0;79989.0;80636.0;79751.0;80955.0;80936.0;80952.0;80234.0;80751.0;85252.0;81384.0;80412.0;80508.0;80614.0;79380.0;85252.0;84266.0;411.0;452.0;416.0;411.0;452.0;463.0;506.0;399.5;386.5;393.0;404.0;388.5;412.0;411.0;404.5;394.0;401.0;463.0;400.0;388.0;377.0;387.0;399.0;463.0;485.0;0.31;0.342;0.275;0.406;0.328;0.286;0.355;19.197;77.081;19.997;1.759;27.181;32.469;119.342;34.532;2.647;42.236;0.249;0.507;0.639;0.602;0.683;0.633;0.269;1.719
5;50;85434.0;89674.0;87348.0;85434.0;89674.0;89430.0;99884.0;82816.0;82778.0;82923.0;83646.0;82793.0;84643.0;84119.0;84030.0;83468.0;84245.0;89430.0;85082.0;84046.0;83338.0;86082.0;83138.0;89430.0;90514.0;354.0;422.0;376.0;354.0;422.0;413.0;555.0;339.0;339.5;340.5;355.0;342.5;362.5;355.5;353.5;344.0;355.0;413.0;343.0;348.0;325.0;378.0;341.0;413.0;453.0;0.234;0.328;0.264;0.257;0.339;0.285;0.524;21.801;97.214;22.027;1.401;29.926;35.376;149.056;36.818;1.838;51.435;0.362;0.468;0.474;0.641;0.524;0.795;0.275;3.584
