mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_taskstime(s);
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT_P;GAT_P(GA_check);734;E_1(R_1);14680;5001088.308508;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;TP;TP[E_1(R_1)];646;E_1(R_1);12920;5000.212023;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(Greedy);618;E_1(R_1);12360;5002.199667;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(GA_count);640;E_1(R_1);12800;500602.809324;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(GA_check);651;E_1(R_1);13020;500606.537940;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(Greedy);763;E_1(R_1);15260;5002.320564;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(GA_count);646;E_1(R_1);12920;500616.337218;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(GA_check);675;E_1(R_1);13500;500610.098630;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;TP;TP[E_1(R_1)];647;E_1(R_1);12940;5000.226242;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(Greedy);638;E_1(R_1);12760;5000.269137;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(GA_count);638;E_1(R_1);12760;50028.932680;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(GA_check);638;E_1(R_1);12760;50028.334956;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(Greedy);638;E_1(R_1);12760;5000.271324;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(GA_count);638;E_1(R_1);12760;50028.923232;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(GA_check);638;E_1(R_1);12760;50027.931219;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;TP;TP[E_1(R_1)];622;E_1(R_1);12440;5000.264630;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(Greedy);2538;E_1(R_1);76140;5000.120741;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(GA_count);2517;E_1(R_1);75510;50075.349364;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(GA_check);2529;E_1(R_1);75870;50069.870462;
